"Date / Time","City","State","Shape","Duration","Summary","Posted"
"12/5/14 17:45","Salt Lake City","UT","Circle","4 minutes","An orange orb traveling low and slow north to south to quickly ascend, erratic flight path and intermittent flicker.","12/12/14"
"12/4/14 21:00","Fairfax","VT","Disk","2 hours","Two-hour UFO event in Franklin County, Vermont, multiple witnesses.","12/12/14"
"12/4/14 19:00","Attalla","AL","Light","2.5-3 hours","Lights in circular motion going in to one another.  Stood in same spot for along time before moving about 60 ft. When they left. They l","12/12/14"
"12/4/14 18:30","Spring Valley","CA","Triangle","6-7 minutes","I saw a triangle.","12/12/14"
"12/4/14 18:00","I-80 (47 miles west of UT)","NV","Light","5 seconds","Heading west on Hwy 80, about 47 miles into NV (from UT).  NW of the highway in the distance.  It looked like a ball of flame.","12/5/14"
"12/4/14 17:00","Tampa","FL","Light","1 hour","Strange light falling from the sky, and aircraft chasing it.  ((NUFORC Note:  Photo appears to show contrails behind a/c.  PD))","12/5/14"
"12/4/14 16:45","Westchester","CA","Sphere","15 seconds","Three bright white spheres.","12/5/14"
"12/3/14 23:00","Albuquerque","NM","Other","15 seconds","Aircraft shaped like a sine curve, with a green neon light tracing its edges.","12/5/14"
"12/3/14 22:43","Bunn","NC","Circle","3 seconds","Sighted a bright white circular object move across the sky just north of the Moon.","12/5/14"
"12/3/14 22:10","Stony Point","NY","Circle","5 minutes","We noticed a formation of objects first flying in a formation similar to the Little Dipper traveling from east to west.","12/5/14"
"12/3/14 21:45","Dallas","OR","Circle","3 minutes","Large glowing orb that looks like a star from a distance but hovers 300 feet or so above tree line.","12/5/14"
"12/3/14 21:30","Kannapolis","NC","Triangle","2-5 minutes","3 white lights in triangular formation hovering in the NW sky of Kannapolis.","12/5/14"
"12/3/14 21:16","Carson City","NV","","5 minutes","Two objects followed by 20 white lights in a scattered triangle formation.","12/5/14"
"12/3/14 20:55","Meansville","GA","Formation","5 minutes","Large formation of red lights with lead light being white.","12/5/14"
"12/3/14 20:30","Uniontown","OH","","Few seconds","Stepped out of house to go to a store.  Saw this huge craft with a long blueish white streak across the sky from east to northwest.","12/5/14"
"12/3/14 20:30","Front Royal","VA","Fireball","1 minutes","Fireball.","12/5/14"
"12/3/14 20:30","Fort Detrick","MD","Fireball","Few seconds","1 fireball broke into 2 fireballs.  ((NUFORC Note:  Possible meteor??  PD))","12/5/14"
"12/3/14 20:25","Owings Mills","MD","Fireball","2 seconds","Large, bright double trail low in the sky, falling quickly to the ground.  ((NUFORC Note:  Possible meteor??  PD))","12/5/14"
"12/3/14 20:00","Altoona","PA","Fireball","2-3 seconds","Roman candle-like fireball streaking across Altoona sky.","12/5/14"
"12/3/14 19:00","Fort Wayne","IN","Fireball","10 minutes","Red fireball changing direction in sky.","12/5/14"
"12/3/14 18:42","Greenfield","IN","Light","10-15 seconds","Bright light hovers then shoots upwards.","12/5/14"
"12/3/14 18:00","Tinley Park","IL","Triangle","45 minutes","Bright red lights flashing look like lights in a triangle formation.  Noticed small moving obj's in the sky with red and blue lights.","12/5/14"
"12/3/14 13:00","Canton","MI","Cylinder","1-2 hours","I was going to bed when I noticed colorful lights blinking outside.  It definitely wasn't a plane or Christmas lights.","12/5/14"
"12/3/14 07:15","Milwaukee","WI","Light","10 seconds","Two points of light above Bayview.","12/5/14"
"12/3/14 06:50","Colwell","IA","Light","5 minutes","Reddish light fixed to the North, disappeared, returned as clear green light a mile to the East.","12/5/14"
"12/3/14 05:51","Broken Arrow","OK","Fireball","2 minutes","Orange glow in sky above broken arrow.","12/5/14"
"12/3/14 04:45","Brooksville","FL","Triangle","10 seconds","UFO seen over Brooksville, Florida, with excellent picture of triangular object!","12/5/14"
"12/2/14 23:00","Falls Church","VA","Rectangle","2 minutes","A light that followed me while I was driving.","12/12/14"
"12/2/14 20:50","Issaquah","WA","Formation","1 minute","Helicopter following 2 black ""holes"" in sky.","12/5/14"
"12/2/14 19:10","Murpheesboro","TN","Fireball","10-15 seconds","I saw 2 ufo fling in the sky 1 looked like it was on fire and falling ufo number 2 look like it came down to help it was like it used s","12/5/14"
"12/2/14 18:30","La Junta","CO","Light","10 minutes","Several bright lights appeared one at a time, and disappeared.  3x different times over about 20-30 miles and 10 minutes as we drove.","12/5/14"
"12/2/14 07:15","Surprise","AZ","Sphere","30 seconds","Taking picture and saw light from corner of my eye.  Looked up and saw it travel from south to north.","12/5/14"
"12/2/14 06:00","Reading","PA","Formation","15","Never seen anything so unlike a plane nor helicopter just weirded me just watching it then simply disappeared.","12/5/14"
"12/2/14 03:30","Eagan","MN","","","At 3:30 AM on Dec. 2, 2014, my daughter's boyfriend saw a very bright light shine in my daughters window for 5 sec..","12/5/14"
"12/1/14 23:58","Powhatan","VA","Flash","5 seconds","We saw a bright blue and red flash from above the clouds that was silent and looked like an explosion.","12/5/14"
"12/1/14 23:35","Naperville","IL","Light","~10 minutes","Light above Naperville.","12/5/14"
"12/1/14 22:55","Merriam","KS","Fireball","~5 minutes","Fireball in the sky that moved slowly then vanished.","12/5/14"
"12/1/14 22:00","Bogota D.C. (Colombia)","","Circle","40 minutes","Red disk with lights around flying in the sky.","12/5/14"
"12/1/14 21:15","Springdale","AR","Fireball","1 minute","I was sitting on my porch when a bright red firey ball/sphere zipped across the sky and dissapered and a few seconds later it appered","12/5/14"
"12/1/14 21:15","Tarentum","PA","Light","10 seconds","A bright light appeared in the sky, started moving south slowly then it moved really fast. Light seemed blurred from overcast sky.","12/5/14"
"12/1/14 20:37","Prescott","AZ","Light","2-3 seconds","Triangular/Chevron of three white lights flew extremely fast East over ERAU in Prescott, AZ","12/5/14"
"12/1/14 18:40","Hartford","WI","Fireball","20 seconds","Fiery, round, object blazed across the night sky, descending rapidly toward an adjacent field. The flames dissipated as it drew closer.","12/5/14"
"12/1/14 18:20","Indian Trail","NC","Sphere","5 seconds","Observed a very bright light changing colors and blinking on and off in the sky.","12/5/14"
"12/1/14 16:45","Lowell","MA","Circle","2-3 seconds","Strange orange object with trail appearing and disappearing quickly at civil twilight.","12/5/14"
"12/1/14 14:00","Virginia Beach","VA","Light","10 seconds","Bright round shiny object.","12/5/14"
"12/1/14 10:00","Sheridan","WY","Other","5 minutes","Bright Light U.F.O..  ((NUFORC Note:  Possible contrail??  PD))","12/12/14"
"12/1/14 06:50","Hearthill (UK/Scotland)","","Light","5 minutes","Seen a light appearing then disappearing about 3x after disappearing for last time seen a light shooting across sky at super speed.","12/5/14"
"12/1/14 02:00","Arlington","TX","Unknown","45 minutes","Got up to turn heater on and could hear what sounded like the sound barrier had been broke like fighter jets.","12/5/14"
"12/1/14 01:30","Eustis","FL","Triangle","5 minutes","Blue triangle lights over Eustis, FL.","12/5/14"
"12/1/14","Saint Paul","MN","Light","4 seconds","While driving 94 East by downtown St. Paul, a large white ball of light moving from the SW to the NE flew across the sky.","12/12/14"
"11/30/14 21:45","Northumberland","PA","Oval","5 minutes","Orange object that changed directions and colors.","12/5/14"
"11/30/14 21:30","Apache Junction","AZ","Unknown","","Looking west towards Phoenix, five or six bright lights were in a straight line, and then quickly formed into a triangle.","12/5/14"
"11/30/14 21:00","Memphis","TN","Light","1-2 hours","Circular green glow/light in clouds.","12/5/14"
"11/30/14 20:20","San Diego","CA","Light","45 seconds","Neon blue light with a smaller reddish part moving faster than the incoming jets and making erratic turns.","12/5/14"
"11/30/14 20:03","Mumbai (India)","","Fireball","~8 minutes","Orange fireball with a bright square in the middle!","12/5/14"
"11/30/14 20:00","Leland","NC","Triangle","45 seconds","Silent triangular shaped craft glides fast across the sky.","12/5/14"
"11/30/14 19:30","Sarcoxie","MO","Other","3-5 minutes","At approximately 19:30 on November 30, 2014, two fighter jets were witnessed by three adults traveling at a very high rate of speed.","12/5/14"
"11/30/14 19:07","St. George","UT","Circle","8 minutes","Two bright dark orange balls of light slowly rose from the horizon up into the western sky.","12/5/14"
"11/30/14 19:00","Ft. Pierce (Hutchinson Island)","FL","Light","all evening","I have been in an ocean front condo the entire month of November in Fort Pierce, Fl.","12/5/14"
"11/30/14 19:00","Palm Coast","FL","Light","5 minutes","Point of light in sky.  Orange, stationary, flickering, very bright.  Thought it was a planet (Mars or Venus).","12/5/14"
"11/30/14 18:45","Scottsdale","AZ","Formation","15 minutes","Lights in formation seen over freeway.","12/5/14"
"11/30/14 18:30","Gulfport","MS","Fireball","~90 seconds","Last evening, I went outside to smoke.  I looked up I saw a orange ball.  Flying from the east to west.","12/5/14"
"11/30/14 18:00","Waterford","MI","Triangle","10 seconds","Fast moving triangle ufo.","12/5/14"
"11/30/14 17:29","Knoxville","TN","Circle","5-10 minutes","Orange ball of light disappeared and reappeared in cloudless parts of the sky three times before we lost it.","12/5/14"
"11/30/14 15:15","Miami","","","1 hour","We saw 2 white parachute like object hovering in the skies. Well above regular airplane routes.They stayed up for about a good 20 m","12/5/14"
"11/30/14 13:00","Grande Prairie (Canada)","AB","Unknown","10 minutes","I was driving to a remote oilfield site by myself (which is very typical) to do maintenance work. I am a very practical person.","12/5/14"
"11/30/14 05:00","Palmetto Bay","FL","Light","2 minutes","BRIGHT WHITE LIGHT MOVING WEST TO EAST VERY FAST.","12/5/14"
"11/30/14 01:50","Seattle","WA","Other","","Cream colored, it looked like a shooting star, but very large, as though a small moon fell from the sky.","12/5/14"
"11/30/14 01:00","Kemah","TX","Other",":30","While sitting on an upper deck a little after midnight, I was looking up at the sky and saw an orange spider/bug looking object moving","12/5/14"
"11/30/14 01:00","Dodge Center","MN","","5 seconds","Loud noise with a white bright light.","12/5/14"
"11/30/14 00:00","Richland","WA","Cylinder","12 seconds","It moved side to side, then up, then down then zipped out of site, and it was illuminated.","12/5/14"
"11/29/14 22:15","Miami","FL","Oval","5 minutes","Four orange, fire-like objects flying low over Miami, FL, area in a straight line.","12/5/14"
"11/29/14 22:10","Land O'Lakes","FL","Light","1-2 minutes","Trio of bright orange lights spotted over Land O'Lakes, FL.","12/5/14"
"11/29/14 22:00","Berlin","MD","Light","2 hours","The light was one the southeast sky about 30 degrees above the horizon.  Flashing colors of red white and green.","12/5/14"
"11/29/14 22:00","Orleans","MA","Chevron","1-4 hours","In the SSE sky (151 degrees), an intense light that appears to be a star, but it seems MUCH brighter.  ((NUFORC Note:  Sirius??  PD))","12/5/14"
"11/29/14 21:35","Sebastian","FL","Disk","2 seconds","Circular disc of light zooming extremely fast overhead and zigzagging once.","12/5/14"
"11/29/14 21:17","New York City (Brooklyn)","NY","Fireball","1 every 6 minutes","7 fireballs, 1 every 6 mins flying from the sky through bedstuy, bushwick brooklyn before disappearing to Manhattan.","12/5/14"
"11/29/14 21:00","Ogden","UT","Changing","15 minutes","Erratic movements, shape and color changing craft.","12/5/14"
"11/29/14 20:30","New Tampa","FL","Oval","45 minutes","Sitting out back.noticed one amber light coming above the treeline then noticed two amber lights coming above the treeline they were al","12/5/14"
"11/29/14 20:30","Bridgewater","MA","Light","minutes","5 bright orange lights all following the same arc at the same speed.","12/5/14"
"11/29/14 20:30","Green Cove Springs","FL","Sphere","2 minutes","Bright sphere over Green Cove Springs.","12/5/14"
"11/29/14 20:30","Shelton","WA","Chevron","7 seconds","V-shaped object, glowing blue/grey moving straight and fast.","12/5/14"
"11/29/14 19:45","North Providence","RI","Circle","60+ minutes","I was in my backyard and I saw 4 balls of light dancing together in the sky.  ((NUFORC Note:  Advertising lights??  PD))","12/5/14"
"11/29/14 17:20","Deming","NM","Unknown","30 minutes","HUGE black stationary aircraft with unknown shape south of I-10 near Deming, NM.","12/5/14"
"11/29/14 17:00","Middleton","WI","Circle","30 seconds","At 5:00 pm 11/29/2014 [tonight] I was traveling eastbound on sth 14 heading home from hunting.  I was about 3 or 4 miles west of the st","12/5/14"
